processes, gridsize, time, conjGradientIters, iters/sec, newtonIters\n
10, 1024, 163.290133, 16360, 100.189765, 338
11, 1024, 124.404860, 16052, 129.030328, 329
12, 1024, 154.625600, 16312, 105.493528, 338
13, 1024, 110.853390, 16319, 147.212457, 337
1, 1024, 1238.915922, 16267, 13.130027, 335
2, 1024, 568.100562, 16349, 28.778356, 339
3, 1024, 421.418717, 16235, 38.524630, 335
4, 1024, 401.109856, 16396, 40.876582, 340
5, 1024, 305.934148, 16331, 53.380769, 338
6, 1024, 292.042443, 16210, 55.505631, 334
7, 1024, 175.132077, 16501, 94.220318, 344
8, 1024, 193.489758, 16328, 84.386896, 337
9, 1024, 160.069246, 16090, 100.518996, 330
10, 128, 3.329907, 2424, 727.948225, 300
11, 128, 0.902008, 2427, 2690.663730, 300
12, 128, 4.886896, 2426, 496.429629, 300
13, 128, 0.947663, 2425, 2558.926195, 300
1, 128, 1.257091, 2427, 1930.648506, 300
2, 128, 0.924274, 2424, 2622.599772, 300
3, 128, 0.880815, 2423, 2750.861790, 300
4, 128, 3.342546, 2430, 726.990651, 300
5, 128, 0.865491, 2424, 2800.721303, 300
6, 128, 3.581909, 2419, 675.338216, 300
7, 128, 0.982306, 2424, 2467.662680, 300
8, 128, 3.272928, 2421, 739.704712, 300
9, 128, 0.830212, 2426, 2922.144223, 300
10, 256, 6.664152, 4307, 646.293768, 300
11, 256, 1.768743, 4309, 2436.193258, 300
12, 256, 9.059328, 4309, 475.642357, 300
13, 256, 1.674850, 4310, 2573.364642, 300
1, 256, 16.150122, 4310, 266.871054, 300
2, 256, 4.691294, 4314, 919.575709, 300
3, 256, 3.927077, 4311, 1097.763089, 300
4, 256, 9.506991, 4309, 453.245384, 300
5, 256, 2.076005, 4301, 2071.767837, 300
6, 256, 7.870465, 4313, 547.998106, 300
7, 256, 1.892342, 4312, 2278.658060, 300
8, 256, 8.036336, 4303, 535.443032, 300
9, 256, 1.742339, 4310, 2473.686339, 300
10, 512, 19.605505, 8015, 408.813759, 301
12, 512, 25.200325, 8013, 317.972087, 300
13, 512, 7.745746, 8025, 1036.052513, 301
1, 512, 138.797155, 8035, 57.890236, 301
2, 512, 70.830956, 8025, 113.297920, 301
3, 512, 48.018630, 8035, 167.330889, 301
4, 512, 48.755111, 8010, 164.290468, 300
5, 512, 25.203008, 8016, 318.057269, 300
6, 512, 35.677804, 8016, 224.677506, 300
7, 512, 15.935831, 8012, 502.766390, 300
8, 512, 25.283022, 8004, 316.576076, 300
9, 512, 10.325306, 8030, 777.700888, 301
