processes, gridsize, time, conjGradientIters, iters/sec, newtonIters\n
10,1024,3.335048e+01, 15958,4.784939e+02, 333
11,1024,4.204567e+01, 16015,3.808953e+02, 335
1,1024,2.075255e+02, 15894,7.658819e+01, 331
12,1024,3.242786e+01, 15973,4.925703e+02, 335
13,1024,2.598741e+01, 15966,6.143744e+02, 334
14,1024,2.511123e+01, 15982,6.364483e+02, 334
15,1024,2.470675e+01, 16061,6.500652e+02, 336
16,1024,2.392082e+01, 15987,6.683299e+02, 334
17,1024,2.304237e+01, 15723,6.823517e+02, 325
18,1024,2.315313e+01, 16102,6.954568e+02, 339
19,1024,1.974124e+01, 15899,8.053700e+02, 333
20,1024,1.606597e+01, 16104,1.002367e+03, 337
21,1024,1.599474e+01, 15968,9.983282e+02, 334
2,1024,1.142044e+02, 15861,1.388825e+02, 331
22,1024,1.482259e+01, 15922,1.074171e+03, 332
3,1024,7.717120e+01, 16215,2.101173e+02, 343
4,1024,6.084784e+01, 16007,2.630660e+02, 336
5,1024,5.373972e+01, 16190,3.012669e+02, 341
6,1024,3.651152e+01, 16144,4.421618e+02, 340
7,1024,4.069347e+01, 15925,3.913404e+02, 333
8,1024,3.061379e+01, 16088,5.255148e+02, 338
9,1024,4.715046e+01, 16026,3.398906e+02, 336
10, 128,4.503661e-02, 2229,4.949307e+04, 300
11, 128,4.315550e-02, 2228,5.162726e+04, 300
1, 128,2.410184e-01, 2227,9.239957e+03, 300
12, 128,3.952892e-02, 2234,5.651558e+04, 300
13, 128,4.704838e-02, 2233,4.746178e+04, 300
14, 128,4.552228e-02, 2230,4.898700e+04, 300
15, 128,4.398343e-02, 2231,5.072365e+04, 300
16, 128,3.331771e-02, 2230,6.693136e+04, 300
17, 128,4.250254e-02, 2230,5.246745e+04, 301
18, 128,4.478553e-02, 2221,4.959191e+04, 300
19, 128,5.074883e-02, 2230,4.394190e+04, 300
20, 128,3.828991e-02, 2225,5.810930e+04, 300
21, 128,3.827858e-02, 2221,5.802200e+04, 300
2, 128,1.572090e-01, 2230,1.418494e+04, 300
22, 128,3.922677e-02, 2230,5.684894e+04, 300
3, 128,8.856950e-02, 2228,2.515539e+04, 300
4, 128,7.085865e-02, 2225,3.140054e+04, 300
5, 128,6.010030e-02, 2226,3.703809e+04, 300
6, 128,5.515723e-02, 2227,4.037549e+04, 300
7, 128,4.841599e-02, 2230,4.605916e+04, 300
8, 128,4.557400e-02, 2225,4.882169e+04, 300
9, 128,4.262589e-02, 2229,5.229217e+04, 300
10, 256,1.994880e-01, 4107,2.058770e+04, 300
11, 256,1.898094e-01, 4111,2.165857e+04, 300
1, 256,2.265079e+00, 4107,1.813182e+03, 300
12, 256,1.824275e-01, 4115,2.255691e+04, 300
13, 256,1.960134e-01, 4108,2.095775e+04, 300
14, 256,1.756216e-01, 4102,2.335704e+04, 300
15, 256,1.708515e-01, 4103,2.401500e+04, 300
16, 256,1.427654e-01, 4105,2.875346e+04, 300
17, 256,1.313146e-01, 4107,3.127604e+04, 300
18, 256,1.545438e-01, 4103,2.654910e+04, 300
19, 256,1.683236e-01, 4106,2.439349e+04, 300
20, 256,1.419868e-01, 4101,2.888298e+04, 300
21, 256,1.323306e-01, 4102,3.099813e+04, 300
2, 256,1.211935e+00, 4104,3.386321e+03, 300
3, 256,6.302501e-01, 4103,6.510114e+03, 300
4, 256,4.662760e-01, 4104,8.801654e+03, 300
5, 256,3.744123e-01, 4106,1.096652e+04, 300
6, 256,3.180340e-01, 4106,1.291057e+04, 300
7, 256,2.780622e-01, 4099,1.474130e+04, 300
8, 256,2.356811e-01, 4106,1.742184e+04, 300
9, 256,2.386670e-01, 4110,1.722064e+04, 300
10, 512,1.662672e+00, 7828,4.708085e+03, 301
11, 512,1.523173e+00, 7841,5.147807e+03, 302
1, 512,2.200397e+01, 7827,3.557085e+02, 301
12, 512,1.572809e+00, 7826,4.975812e+03, 301
13, 512,1.396558e+00, 7813,5.594468e+03, 300
14, 512,1.202111e+00, 7818,6.503559e+03, 300
15, 512,1.163337e+00, 7802,6.706568e+03, 300
16, 512,1.003633e+00, 7810,7.781728e+03, 300
17, 512,9.644083e-01, 7814,8.102378e+03, 300
18, 512,8.835793e-01, 7808,8.836784e+03, 300
19, 512,1.284562e+00, 7830,6.095461e+03, 301
20, 512,7.419823e-01, 7810,1.052586e+04, 300
21, 512,7.015815e-01, 7822,1.114910e+04, 301
2, 512,9.498767e+00, 7824,8.236859e+02, 301
3, 512,8.363022e+00, 7818,9.348295e+02, 300
4, 512,4.711283e+00, 7819,1.659633e+03, 300
5, 512,4.992604e+00, 7806,1.563513e+03, 300
6, 512,2.590147e+00, 7819,3.018747e+03, 300
7, 512,2.403685e+00, 7823,3.254587e+03, 301
8, 512,1.842847e+00, 7830,4.248861e+03, 301
9, 512,1.785373e+00, 7809,4.373876e+03, 300
