processes, gridsize, time, conjGradientIters, iters/sec, newtonIters\n
10,1024,3.674670e+01, 15958,4.342703e+02, 333
11,1024,2.711686e+01, 16015,5.905920e+02, 335
12,1024,2.839564e+01, 15973,5.625160e+02, 335
13,1024,2.894542e+01, 15966,5.515899e+02, 334
14,1024,2.687084e+01, 15982,5.947712e+02, 334
15,1024,1.901909e+01, 16061,8.444674e+02, 336
16,1024,2.059368e+01, 15987,7.763061e+02, 334
17,1024,2.342408e+01, 15723,6.712323e+02, 325
18,1024,2.260550e+01, 16102,7.123047e+02, 339
19,1024,2.041865e+01, 15899,7.786510e+02, 333
1,1024,1.987728e+02, 15894,7.996063e+01, 331
20,1024,1.816677e+01, 16104,8.864538e+02, 337
21,1024,1.617161e+01, 15968,9.874094e+02, 334
22,1024,1.434231e+01, 15922,1.110142e+03, 332
23,1024,1.346357e+01, 16105,1.196191e+03, 339
24,1024,1.114925e+01, 15646,1.403323e+03, 323
25,1024,1.084475e+01, 16172,1.491228e+03, 340
26,1024,1.086110e+01, 16078,1.480329e+03, 338
27,1024,9.577442e+00, 16257,1.697426e+03, 344
28,1024,8.579752e+00, 15981,1.862641e+03, 333
29,1024,7.270336e+00, 15803,2.173627e+03, 327
2,1024,1.503161e+02, 15861,1.055176e+02, 331
31,1024,7.413791e+00, 16012,2.159759e+03, 335
3,1024,1.073524e+02, 16215,1.510447e+02, 343
4,1024,8.206086e+01, 16007,1.950626e+02, 336
5,1024,5.339882e+01, 16190,3.031902e+02, 341
6,1024,3.746293e+01, 16144,4.309327e+02, 340
7,1024,4.183827e+01, 15925,3.806323e+02, 333
8,1024,3.580225e+01, 16088,4.493573e+02, 338
9,1024,3.654382e+01, 16026,4.385420e+02, 336
10, 128,4.137171e-02, 2229,5.387740e+04, 300
11, 128,4.526128e-02, 2228,4.922529e+04, 300
12, 128,5.101837e-02, 2234,4.378815e+04, 300
13, 128,4.712683e-02, 2233,4.738278e+04, 300
14, 128,3.681878e-02, 2230,6.056691e+04, 300
15, 128,4.900743e-02, 2231,4.552371e+04, 300
16, 128,4.032553e-02, 2230,5.529995e+04, 300
17, 128,4.429399e-02, 2230,5.034543e+04, 301
18, 128,3.714557e-02, 2221,5.979179e+04, 300
19, 128,6.066232e-02, 2230,3.676087e+04, 300
1, 128,3.123725e-01, 2227,7.129309e+03, 300
20, 128,4.430446e-02, 2225,5.022068e+04, 300
21, 128,3.787201e-02, 2221,5.864489e+04, 300
22, 128,3.869756e-02, 2230,5.762637e+04, 300
23, 128,4.663135e-02, 2233,4.788624e+04, 300
24, 128,3.676740e-02, 2228,6.059716e+04, 300
